"app name","APK","occurrences"
"pixel art - color by number","com.europosit.pixelcoloring","9523"
"seat away","com.ozn.busqueuee","9457"
"picsart: ai photo video editor","com.picsart.studio","9368"
"car parking jam 3d: move it!","com.nostel.parking.car","9335"
"bricks n balls","1331794412","8946"
"math crossword — number puzzle","com.zm.crossmath","8873"
"match triple 3d: matching tile","and.lihuhu.machingtriple","8862"
"tidy master: hidden objects","com.scavenger.hunt.find.my.cat.hidden.object.free.brainly.game","8639"
"balloon triple match: match 3d","com.balloon.triple.match.master3d.game","8426"
"jewel sliding® - block puzzle","com.sportbrain.jewelpuzzle","8310"
"solitaire - classic card game","com.playvalve.solitaire","8267"
"7plus","com.swm.live","8253"
"football league 2024","com.football.soccer.league","8244"
"zen blossom","and.matchgames.zenblossom","8122"
"screw master: nuts jam puzzle","com.screw.pin.nuts.bolts.jam.puzzle","8006"
"blockudoku - block puzzle","1452227871","7955"
"sudoku.com - number games","1193508329","7903"
"minicraft: blocky craft 2024","com.moon.craft.buildingcraft","7887"
"solitaire: classic card games","com.tripledot.solitaire","7867"
"drop the number® : merge game","com.superbox.aos.fire2048","7692"
"block puzzle: block smash game","com.miracle.block.smash.journey","7619"
"poly.ai - create ai chat bot","ai.socialapps.speakmaster","7609"
"nummatch: logic puzzle","and.brainworks.nummatch","7567"
"grindr - gay dating & chat","319881193","7359"
"happy color by numbers game","1407852246","7340"
"water sort puz - color game","com.playvalve.watersort","7309"
"yatzy","com.loopgames.yatzy","7151"
"word garden : crosswords","com.iscoolentertainment.snc","6991"
"knuddels - chat. play. flirt.","com.knuddels.android","6987"
"rummy - free card game","com.litegames.rummy_free__aat_google","6686"
"solitaire 3d fish","com.solitaire.fish.klondike.card.aquarium","6670"
"rope hero: vice town","com.mgc.ropehero.vicetown","6641"
"weather radar - meteored news","aplicacion.tiempo","6623"
"wordle!","com.vottzapps.wordle","6603"
"block journey - puzzle games","com.hungrystudio.block.puzzle.fun.brain.free","6594"
"dramabox - stream drama shorts","com.storymatrix.drama","6573"
"talkie: ai character chat","com.weaver.app.prod","6458"
